id,date,facebook,whatsapp,snapchat,instagram,youtube,messenger,spotify,gmail,appli_shopping,navigation,appli_banque,transport,meteo,logement,jeux,Linkedln
"Mouad
",12/12,290,5.4,0,43.5,152.4,"19.82
","32.62
","0.76
","25.60
","0.734
",0,6.92,0,0,0,
Emmy (données mobile),13/12,0.416 ,2,0,94.4 ,0.2398 ,0.0031 ,14,1.8,388.8 ,25.8,0,3.3,0.169 ,0,0.3374 ,0
Aissatou (données Mobile),14/12,48.6 ,2.2,0,0,0,0,10.3,0,0,4.1,0,0,0,0,0,34.5 
Aissatou (Wifi),14/12,356.9 ,12.2,0,0,379.7 ,44.5 ,7.8,0,26.3,28.1,0,0,0,0,0,15.8
,,,,,,,,,,,,,,,,,
Aissatou (WIFI),15/12,494.4 ,11.6,0,0,2.2,70.1 ,1.1,0.697 ,1.6,48.2 ,0.3395 ,0,0,0,0,28.8
Emmy (données mobile),15/12,0,0.018 ,0,4.3,0,0.60 ,2.9,3.2,0.3957 ,0.1359 ,0,0,0.0232  ,0,0.2642 ,0
Emmy (données mobile),16/12,0,9.5,0,411.2 ,308,2.6,28,8.6,864.2 ,197.3 ,0,3.3,0.549 ,0,348.8 ,0
Aissatou(WIFI),17/12,99,11.3,0,0,43,12.2,0.910 ,0.5933 ,0,6.1,0,0,0,0,0,11.2
Aissatou(données Mobile),17/12,11.6,0.1754 ,0,0,0.1416  ,0.122 ,5.1,0.1204 ,0.0329  ,1.6,0,1.1,0,0,0,0.052 
Aissatou (WIFI),18/12,178.6 ,5.5,0,0,0,54.3 ,6.5,2.3,0.045,8.1,0,0,0,0,0,10.6
Aissatou(Données Mobile),18/12,32.4 ,14.8,0,0,1.1,23,48.5 ,3.8,0.1106,4,0,0,0,0,0,8.4
Emmy (données mobile),18/12,0,0.1568 ,2.3,51.5 ,0,0,0,8.6,118,16.2,0,0,72.1 ,0,0,0
"Mouad
",13/12,40,10.3,0,23.54,81.93,14.12,21.09,0.2,13.3,8.3,0,0,0,0,0,0
"Mouad
",14/12,40.67,15.4,0,77.09,220.3,3.72,0,0,4.108,3.26,0,4.85,0,0,0,0
"Mouad
",15/12,102.65,3.56,0,57.78,97.98,13.64,7.56,1.2,8.83,10.2,0,6.76,0,0,0,0
"Mouad
",16/12,50.22,0.52,0,1.13,20,19.02,3,1,7.46,2.95,0,10,0,0,0,0
"Mouad
",17/12,130.43,3.4,0,40.39,120.54,26.67,0,3.4,10.23,4.82,0,0,0.89,0,0,0
"Mouad
",18/12,130.25,10.9,0,51.24,78.98,12.43,7.43,0.43,16.87,23.03,2.76,3.97,0,0,0,0
"Mouad
",19/12,88.6,28.08,0,57.86,54.08,23.7,2.65,0.9,10.32,17.8,1.1,4.8,0,0,0,0
Aissatou(Données Mobile),19/12,24.4,0.2687,0,0,0.1276 ,9.3,2.2,0.008 ,0.320 ,1.4,0,0,1.3,0,0,0.4918
Aissatou(WIFI),19/12,288.4 ,11.9,0,0,11.5,35.4 ,0.6,4.3,0,2.3,0,0,0,0,0,0.7931 
Emmy (données mobile),19/12,0,3.3,47.9 ,178.4 ,0.0578 ,0.012 ,2.4,0.924,218,47.5,0,0,0.1615,0,0,0
Emmy (données mobile),22/12,0,0.0574 ,0,0,0.0592 ,0.1781,0,0,0,0.2406 ,0,0,0.115,0,0,0
Aissatou(Mobile),23/12,2.6,2,0,0,2.2,1.9,4,1.1,2.8,3.5,0,0,0,0,0,3.4
Aissatou(WIFI),23/12,224,12.5,0,0,43.3 ,64.4 ,1.8,1.4,4.1,5.7,0,0,0,0,0,28.5
Aissatou(Mobile),25/12,3.8,1.8,0,0,2.3,6.2,2.9,27,0,2.2,0,0,0,,0,2.5
Aissatou(WIFI),25/12,706.2 ,11.4,0,0,11.8,36,1.2,1.2,18.5,15.1,0,,0,0,0,12.1
Emmy (données mobile),26/12,0,0.0079 ,0,30.1,0.0443,0,0,0,0.3571,0.3605,0,0,0.16,0,0,0
"Mouad
",20/12,203.43,22.18,0,83.04,163.34,9.48,18.43,1.14,18.21,13.21,0,8.32,0,0,0,0
"Mouad
",21/12,184.43,14.43,0,87.92,103.4,8.86,0,1.72,14.55,16.77,0,5.63,0,0,0,0
"Mouad
",22/12,334.77,43.38,0,94.11,0.392,6.91,0,2.29,17.01,28.06,0.216,5.81,0,0,0,0
"Mouad
",23/12,210,63.43,0,99.2,178.34,32.82,0,2.3,23.44,12.83,0,10.3,0,0,0,0
"Mouad
",24/12,110.23,12.34,0,50.3,29.33,14.38,0,0.43,25.98,450.4,1.2,12.76,0,0,0,0
"Mouad
",25/12,78.21,8.37,0,89.76,17.54,16.09,0,0.67,31.12,563.33,0,18.4,0,0,0,0
"Mouad
",26/12,92.44,37.49,0,110.21,42.21,21.77,0,1.26,8.74,10.98,0,21.87,0,0,0,0
"Mouad
",27/12,30.34,42.03,0,21.45,2.3,34.5,0,2.33,7.3,204.01,0,24.99,0,0,0,0
"Mouad
",28/12,178.98,18.23,0,30.56,19.21,12.45,0,1.36,2.91,4.94,02.04,10.09,0,0,0,0
"Mouad
",29/12,242.51,29.3,0,54.12,24.05,19.03,0,2.15,2.59,05.01,1.56,02.07,0,0,0,0
"Mouad
",30/12,193.03,24.06,0,49.01,10.21,17.83,0,01.08,8.92,8,0,6.49,0,0,0,0
"Mouad
",31/12,197.09,12.88,0,21.62,60.59,16.66,0,0.97,4.5,1.52,0,1.56,0,0,0,0
"Mouad
",01/01,208.4,7.56,0,18.2,7.23,9.12,0,0.12,1.23,0,0,1.2,0,0,0,0